TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated,number_of_TRGs,divergent_TRGs,validated_TRGs
"GO:0008152", "metabolic process", 41.6376912378303, -5.7546256393141, 1.18081585070381, 3.68042617085815, -1.51666792006897, 1, 0, null, False,1,,group16290
"GO:0050789", "regulation of biological process", 37.1436022253129, -1.28997945502301, 5.54639026983366, 3.63083451782805, -1.51666792006897, 0.936675717925546, 0, null, False,1,,group16290
"GO:0051179", "localization", 21.2621696801113, -4.57368383752688, 2.00023968470239, 3.38863396935179, -1.51666792006897, 1, 0, null, False,1,,group16290
"GO:0065007", "biological regulation", 41.4551460361613, -4.64726760747698, 3.37490306066984, 3.67851837904011, -1.51666792006897, 1, 0, null, False,1,,group16290
"GO:0090150", "establishment of protein localization to membrane", 0.843184979137691, -4.04920024796361, -4.54941534133761, 1.99122607569249, -1.51666792006897, 0.763698513687221, 0, null, False,1,,group16290
"GO:0006613", "cotranslational protein targeting to membrane", 0.13038942976356, null, null, 1.20411998265592, -1.51666792006897, 0.788635191758563, 0.73503866, 90150, True,1,,group16290
"GO:0043603", "cellular amide metabolic process", 4.45931849791377, 4.09248769222517, -0.778736998525016, 2.71096311899528, -1.51666792006897, 0.689495259362495, 0.03140744, null, False,1,,group16290
"GO:0042886", "amide transport", 0.104311543810848, -4.39410113157149, -3.57886473245623, 1.11394335230684, -1.51666792006897, 0.865434654835215, 0.25076371, null, False,1,,group16290
"GO:0046483", "heterocycle metabolic process", 13.2041029207232, 6.7513769044208, -2.11982297064738, 3.18184358794477, -1.51666792006897, 0.705273042814119, 0.25920724, null, False,1,,group16290
"GO:1901564", "organonitrogen compound metabolic process", 24.9217663421419, 4.80509153261873, -2.66749785237133, 3.45757914699576, -1.51666792006897, 0.663135827016608, 0.32562331, null, False,1,,group16290
"GO:0006725", "cellular aromatic compound metabolic process", 13.6387343532684, 6.52008303378884, -2.78146166048411, 3.19589965240923, -1.51666792006897, 0.703296494317275, 0.33134559, null, False,1,,group16290
"GO:0048519", "negative regulation of biological process", 13.586578581363, -1.67614778576195, 5.3018538917796, 3.19423674872383, -1.51666792006897, 0.94152668611543, 0.34523843, null, False,1,,group16290
"GO:1901360", "organic cyclic compound metabolic process", 14.221140472879, 5.1401001655236, -4.53976310114996, 3.21404867941194, -1.51666792006897, 0.732934044694139, 0.34585779, null, False,1,,group16290
"GO:0015833", "peptide transport", 0.0434631432545202, -4.53150844265291, -3.1352529541002, 0.778151250383644, -1.51666792006897, 0.87462487486976, 0.36349071, null, False,1,,group16290
"GO:0071705", "nitrogen compound transport", 5.94575799721836, -3.36398724574947, -5.28622946975048, 2.83569057149243, -1.51666792006897, 0.807929524587084, 0.38419614, null, False,1,,group16290
"GO:0060255", "regulation of macromolecule metabolic process", 18.9499304589708, -0.455935610179025, 5.98736126808693, 3.3386556655787, -1.51666792006897, 0.91516963933149, 0.38852324, null, False,1,,group16290
"GO:0019222", "regulation of metabolic process", 20.3494436717663, -0.999922735552214, 5.73791844883405, 3.36958689073634, -1.30555350959904, 0.936109345978026, 0.39924293, null, False,1,,group16290
"GO:0034655", "nucleobase-containing compound catabolic process", 1.2865090403338, 5.40131744922069, 0.774317369511502, 2.17318626841227, -1.51666792006897, 0.640530201022122, 0.40673358, null, False,1,,group16290
"GO:0043170", "macromolecule metabolic process", 29.4506258692629, 4.89153201582392, -3.38437812810266, 3.53007156883738, -1.51666792006897, 0.682976133559634, 0.44225545, null, False,1,,group16290
"GO:0044267", "cellular protein metabolic process", 15.57719054242, 5.30733531645655, -1.79314029884476, 3.25358028956218, -1.51666792006897, 0.627758560556287, 0.450991, null, False,1,,group16290
"GO:0043043", "peptide biosynthetic process", 2.807719054242, 3.82810348650166, -1.43439364722932, 2.51054501020661, -1.51666792006897, 0.618780974566539, 0.45423208, null, False,1,,group16290
"GO:0043604", "amide biosynthetic process", 3.19019471488178, null, null, 2.56584781867352, -1.51666792006897, 0.622302537518833, 0.84683099, 43043, True,1,,group16290
"GO:0034641", "cellular nitrogen compound metabolic process", 16.307371349096, 6.09124762340966, -1.93303300749063, 3.27346427262135, -1.51666792006897, 0.672783597466213, 0.45744115, null, False,1,,group16290
"GO:0016071", "mRNA metabolic process", 3.09457579972184, 4.99357810310823, -0.0191524739724232, 2.55266821611219, -1.51666792006897, 0.655012556183161, 0.46583751, null, False,1,,group16290
"GO:0051641", "cellular localization", 9.02294853963839, -2.92747351660369, -6.09003482232859, 3.01661554755718, -1.51666792006897, 0.78276785998038, 0.46636441, null, False,1,,group16290
"GO:0071704", "organic substance metabolic process", 38.8734353268428, 5.62660806398195, -3.26740212714043, 3.65059889817266, -1.51666792006897, 0.678073607631526, 0.47187417, null, False,1,,group16290
"GO:0033036", "macromolecule localization", 8.36230876216968, -3.12299516762101, -5.94837856591322, 2.98362628712453, -1.51666792006897, 0.817863164111483, 0.49891239, null, False,1,,group16290
"GO:0044260", "cellular macromolecule metabolic process", 20.5146036161335, 5.63745221376113, -2.14953866588238, 3.37309598707873, -1.51666792006897, 0.638543384830992, 0.50092087, null, False,1,,group16290
"GO:0044237", "cellular metabolic process", 35.5876216968011, 5.76638989102272, -3.59785834929348, 3.61225390609644, -1.329228470567, 0.67341145446255, 0.51702897, null, False,1,,group16290
"GO:0044238", "primary metabolic process", 36.500347705146, 5.34762687375548, -3.60057841713759, 3.6232492903979, -1.51666792006897, 0.683520200771335, 0.52373412, null, False,1,,group16290
"GO:1901361", "organic cyclic compound catabolic process", 1.55598052851182, 5.58940190594711, 1.72373628592674, 2.25527250510331, -1.51666792006897, 0.695119248872998, 0.56201545, null, False,1,,group16290
"GO:0046700", "heterocycle catabolic process", 1.42559109874826, 5.87909551133642, 1.40422561467916, 2.21748394421391, -1.51666792006897, 0.678190480220946, 0.56923698, null, False,1,,group16290
"GO:0044270", "cellular nitrogen compound catabolic process", 1.43428372739917, 5.15163062303444, 0.955343288093297, 2.22010808804005, -1.51666792006897, 0.645898274036344, 0.57652295, null, False,1,,group16290
"GO:0010605", "negative regulation of macromolecule metabolic process", 7.1192628650904, -0.0705568055299586, 6.17259295182506, 2.91381385238372, -1.51666792006897, 0.922477827285985, 0.58904204, null, False,1,,group16290
"GO:0051649", "establishment of localization in cell", 7.20618915159944, -3.73185880106761, -4.97830157833354, 2.91907809237607, -1.51666792006897, 0.729419948932526, 0.59097225, null, False,1,,group16290
"GO:0070727", "cellular macromolecule localization", 5.05041724617524, null, null, 2.76492298464989, -1.35050935191751, 0.747556085826254, 0.77934069, 51649, True,1,,group16290
"GO:0019538", "protein metabolic process", 20.1408205841446, 4.84192990629216, -2.20552581271565, 3.36511343162758, -1.35050935191751, 0.641110625443624, 0.60267102, null, False,1,,group16290
"GO:0090304", "nucleic acid metabolic process", 10.0052155771905, 5.34526414385963, -0.631979189667898, 3.06145247908719, -1.51666792006897, 0.586877841245635, 0.63122048, null, False,1,,group16290
"GO:1901576", "organic substance biosynthetic process", 11.7176634214186, 4.32907696972386, -4.25498845127006, 3.1300119496719, -1.51666792006897, 0.626918073393033, 0.65345951, null, False,1,,group16290
"GO:0044271", "cellular nitrogen compound biosynthetic process", 6.62378303198887, null, null, 2.88252453795488, -1.51666792006897, 0.588328772087058, 0.76889672, 1901576, True,1,,group16290
"GO:0034645", "cellular macromolecule biosynthetic process", 6.94541029207232, null, null, 2.90308998699194, -1.51666792006897, 0.60146051434691, 0.77647426, 1901576, True,1,,group16290
"GO:0009059", "macromolecule biosynthetic process", 7.1105702364395, null, null, 2.91328390176042, -1.51666792006897, 0.633069040405625, 0.78028577, 1901576, True,1,,group16290
"GO:1901566", "organonitrogen compound biosynthetic process", 7.28442280945758, null, null, 2.9237619608287, -1.51666792006897, 0.628506911998663, 0.78424261, 1901576, True,1,,group16290
"GO:0044249", "cellular biosynthetic process", 11.4829624478442, null, null, 3.12123145514962, -1.51666792006897, 0.603377668414118, 0.86708801, 1901576, True,1,,group16290
"GO:0044265", "cellular macromolecule catabolic process", 3.8856050069541, 6.13512988449409, 0.224806995038536, 2.65127801399814, -1.51666792006897, 0.621011224375666, 0.65367785, null, False,1,,group16290
"GO:0009057", "macromolecule catabolic process", 4.35500695410292, null, null, 2.70070371714502, -1.51666792006897, 0.649868265596949, 0.7499987, 44265, True,1,,group16290
"GO:0044248", "cellular catabolic process", 7.15403337969402, null, null, 2.91592721169712, -1.51666792006897, 0.629877696383929, 0.77722226, 44265, True,1,,group16290
"GO:0072594", "establishment of protein localization to organelle", 1.55598052851182, -3.83981558435971, -4.66917854696715, 2.25527250510331, -1.51666792006897, 0.745422085044519, 0.65872036, null, False,1,,group16290
"GO:0072599", "establishment of protein localization to endoplasmic reticulum", 0.217315716272601, null, null, 1.41497334797082, -1.51666792006897, 0.789365151580065, 0.72607113, 72594, True,1,,group16290
"GO:0070972", "protein localization to endoplasmic reticulum", 0.269471488178025, null, null, 1.50514997831991, -1.51666792006897, 0.791693316477842, 0.74156651, 72594, True,1,,group16290
"GO:0019439", "aromatic compound catabolic process", 1.52121001390821, 6.12825511590285, 1.21217880602422, 2.24551266781415, -1.51666792006897, 0.676258186322374, 0.65885205, null, False,1,,group16290
"GO:0006810", "transport", 16.6116133518776, -3.60980547639208, -5.28947449307816, 3.28148788794008, -1.51666792006897, 0.778202497224218, 0.6596643, null, False,1,,group16290
"GO:0009892", "negative regulation of metabolic process", 7.57127955493741, 0.122450926440962, 6.24015502770646, 2.94051648493257, -1.51666792006897, 0.921702982306494, 0.66047491, null, False,1,,group16290
"GO:0051234", "establishment of localization", 17.1679415855355, -3.31355643076096, -5.66756342707734, 3.29578694025161, -1.51666792006897, 0.79696400211552, 0.68540035, null, False,1,,group16290
