14098at7147	=	1-307;
40875at7147	=	308-463;
2377at7147	=	464-676;
2590at7147	=	677-1140;
556at7147	=	1141-1820;
42702at7147	=	1821-1916;
8099at7147	=	1917-2394;
19505at7147	=	2395-2540;
66432at7147	=	2541-2590;
42845at7147	=	2591-2710;
71453at7147	=	2711-2793;
11362at7147	=	2794-3145;
2918at7147	=	3146-3855;
54268at7147	=	3856-3953;
40519at7147	=	3954-4045;
21125at7147	=	4046-4140;
17796at7147	=	4141-4336;
24544at7147	=	4337-4635;
60191at7147	=	4636-4705;
51633at7147	=	4706-4792;
35162at7147	=	4793-4923;
78083at7147	=	4924-4994;
17535at7147	=	4995-5244;
42524at7147	=	5245-5401;
70373at7147	=	5402-5448;
59823at7147	=	5449-5587;
21828at7147	=	5588-5860;
50356at7147	=	5861-5980;
69282at7147	=	5981-6038;
49327at7147	=	6039-6218;
40428at7147	=	6219-6340;
55717at7147	=	6341-6453;
69614at7147	=	6454-6505;
34577at7147	=	6506-6620;
31289at7147	=	6621-6835;
10672at7147	=	6836-7149;
50746at7147	=	7150-7260;
63429at7147	=	7261-7313;
61689at7147	=	7314-7379;
19314at7147	=	7380-7568;
35629at7147	=	7569-7755;
35253at7147	=	7756-7952;
19929at7147	=	7953-8112;
5446at7147	=	8113-8502;
11268at7147	=	8503-8691;
29212at7147	=	8692-8792;
58160at7147	=	8793-8867;
66297at7147	=	8868-8906;
3601at7147	=	8907-9445;
158at7147	=	9446-10372;
73978at7147	=	10373-10418;
21727at7147	=	10419-10574;
24586at7147	=	10575-10802;
36142at7147	=	10803-10946;
26791at7147	=	10947-11148;
37097at7147	=	11149-11316;
4165at7147	=	11317-11769;
47762at7147	=	11770-11897;
41126at7147	=	11898-12026;
46902at7147	=	12027-12121;
75294at7147	=	12122-12180;
47497at7147	=	12181-12274;
18494at7147	=	12275-12498;
42811at7147	=	12499-12583;
65176at7147	=	12584-12941;
10506at7147	=	12942-13302;
1636at7147	=	13303-13996;
48521at7147	=	13997-14225;
51851at7147	=	14226-14379;
4291at7147	=	14380-14815;
14234at7147	=	14816-15181;
7480at7147	=	15182-15598;
54424at7147	=	15599-15710;
51812at7147	=	15711-15807;
62998at7147	=	15808-15940;
21168at7147	=	15941-16141;
24373at7147	=	16142-16367;
28735at7147	=	16368-16625;
22012at7147	=	16626-16930;
29095at7147	=	16931-17079;
22566at7147	=	17080-17298;
62437at7147	=	17299-17365;
1962at7147	=	17366-17622;
39687at7147	=	17623-17783;
40817at7147	=	17784-17930;
43003at7147	=	17931-18044;
30773at7147	=	18045-18287;
35260at7147	=	18288-18611;
14495at7147	=	18612-18826;
34330at7147	=	18827-18973;
35474at7147	=	18974-19118;
59757at7147	=	19119-19186;
6656at7147	=	19187-19709;
20at7147	=	19710-22214;
43332at7147	=	22215-22937;
72346at7147	=	22938-23089;
14255at7147	=	23090-23537;
42766at7147	=	23538-23652;
22915at7147	=	23653-23846;
61154at7147	=	23847-23927;
62207at7147	=	23928-23999;
61738at7147	=	24000-24084;
72254at7147	=	24085-24138;
26110at7147	=	24139-24272;
67985at7147	=	24273-24343;
46488at7147	=	24344-24452;
45870at7147	=	24453-24622;
27849at7147	=	24623-24837;
12095at7147	=	24838-25150;
13446at7147	=	25151-25416;
73085at7147	=	25417-25459;
16602at7147	=	25460-25619;
53200at7147	=	25620-25691;
26792at7147	=	25692-25884;
65381at7147	=	25885-25984;
18393at7147	=	25985-26222;
22042at7147	=	26223-26458;
56762at7147	=	26459-26543;
21142at7147	=	26544-26822;
13664at7147	=	26823-26979;
54158at7147	=	26980-27168;
33666at7147	=	27169-27236;
50634at7147	=	27237-27304;
52235at7147	=	27305-27385;
69847at7147	=	27386-27483;
5481at7147	=	27484-27965;
14481at7147	=	27966-28440;
14914at7147	=	28441-28753;
23816at7147	=	28754-28859;
34806at7147	=	28860-28998;
59768at7147	=	28999-29091;
63623at7147	=	29092-29171;
25693at7147	=	29172-29368;
64528at7147	=	29369-29490;
71201at7147	=	29491-29589;
53475at7147	=	29590-29680;
37090at7147	=	29681-29866;
67511at7147	=	29867-29923;
