category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
GO:0044267	0	1	6	6	cellular protein metabolic process	BP	0	BP cellular protein metabolic process	group7814, group9097, group7772, group8496, group2649, group8591
GO:0044422	0	1	9	9	NA	NA	0	none	group7814, group8518, group8525, group8809, group9250, group2599, group9097, group8496, group1728
GO:0044424	0	1	13	13	NA	NA	0	none	group7814, group8518, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0044428	0	1	6	6	NA	NA	0	none	group7814, group8525, group9250, group2599, group9097, group8496
GO:0044444	0	1	7	7	NA	NA	0	none	group8518, group8369, group8809, group9250, group7772, group1728, group8591
GO:0044446	0	1	9	9	NA	NA	0	none	group7814, group8518, group8525, group8809, group9250, group2599, group9097, group8496, group1728
GO:0044464	0	1	13	13	NA	NA	0	none	group7814, group8518, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0050789	0	1	8	8	regulation of biological process	BP	0	BP regulation of biological process	group7814, group8518, group8525, group8809, group9097, group8496, group1728, group2649
GO:0050794	0	1	7	7	regulation of cellular process	BP	0	BP regulation of cellular process	group7814, group8525, group8809, group9097, group8496, group1728, group2649
GO:0051171	0	1	6	6	regulation of nitrogen compound metabolic process	BP	0	BP regulation of nitrogen compound metabolic process	group7814, group8525, group8809, group9097, group8496, group1728
GO:0060255	0	1	6	6	regulation of macromolecule metabolic process	BP	0	BP regulation of macromolecule metabolic process	group7814, group8525, group8809, group9097, group8496, group1728
GO:0065007	0	1	8	8	biological regulation	BP	0	BP biological regulation	group7814, group8518, group8525, group8809, group9097, group8496, group1728, group2649
GO:0071704	0	1	10	10	organic substance metabolic process	BP	0	BP organic substance metabolic process	group7814, group8369, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0080090	0	1	6	6	regulation of primary metabolic process	BP	0	BP regulation of primary metabolic process	group7814, group8525, group8809, group9097, group8496, group1728
GO:1901564	0	1	7	7	organonitrogen compound metabolic process	BP	0	BP organonitrogen compound metabolic process	group7814, group9097, group7772, group8496, group1728, group2649, group8591
GO:0006464	3.60915280088478e-12	1	5	9	cellular protein modification process	BP	7.82210711089056e-10	BP cellular protein modification process	group7814, group9097, group7772, group8496, group2649
GO:0003824	1.53525734152684e-11	1	6	32	catalytic activity	MF	3.08561160835623e-09	MF catalytic activity	group8369, group2599, group7772, group8496, group1728, group2649
GO:0032501	1.63324151428352e-11	1	4	4	multicellular organismal process	BP	3.08561160835623e-09	BP multicellular organismal process	group7814, group8809, group2599, group9097
GO:0031974	1.68086176020938e-11	1	4	4	membrane-enclosed lumen	CC	3.08561160835623e-09	CC membrane-enclosed lumen	group7814, group9250, group2599, group9097
GO:0031981	1.68086176020938e-11	1	4	4	nuclear lumen	CC	3.08561160835623e-09	CC nuclear lumen	group7814, group9250, group2599, group9097
GO:0043233	1.68086176020938e-11	1	4	4	organelle lumen	CC	3.08561160835623e-09	CC organelle lumen	group7814, group9250, group2599, group9097
GO:0070013	1.68086176020938e-11	1	4	4	intracellular organelle lumen	CC	3.08561160835623e-09	CC intracellular organelle lumen	group7814, group9250, group2599, group9097
GO:0019219	1.69306535437927e-11	1	4	4	regulation of nucleobase-containing compound metabolic process	BP	3.08561160835623e-09	BP regulation of nucleobase-containing compound metabolic process	group7814, group8525, group9097, group1728
GO:0051179	3.2666533077964e-11	1	4	4	localization	BP	5.82117619449318e-09	BP localization	group8518, group8809, group9250, group2649
GO:0003674	1.95914833982402e-10	1	12	732	molecular_function	MF	3.41530663848887e-08	MF molecular_function	group7814, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0043228	7.40326660859386e-09	1	3	3	non-membrane-bounded organelle	CC	1.23680822779821e-06	CC non-membrane-bounded organelle	group8809, group2599, group9097
GO:0043232	7.40326660859386e-09	1	3	3	intracellular non-membrane-bounded organelle	CC	1.23680822779821e-06	CC intracellular non-membrane-bounded organelle	group8809, group2599, group9097
GO:0048519	1.09374323445792e-08	1	3	3	negative regulation of biological process	BP	1.72696634600779e-06	BP negative regulation of biological process	group9097, group8496, group1728
GO:0048523	1.09374323445792e-08	1	3	3	negative regulation of cellular process	BP	1.72696634600779e-06	BP negative regulation of cellular process	group9097, group8496, group1728
GO:0031399	1.14140436885413e-08	1	3	3	regulation of protein modification process	BP	1.72696634600779e-06	BP regulation of protein modification process	group8809, group9097, group8496
GO:0032268	1.14140436885413e-08	1	3	3	regulation of cellular protein metabolic process	BP	1.72696634600779e-06	BP regulation of cellular protein metabolic process	group8809, group9097, group8496
GO:0051246	1.14140436885413e-08	1	3	3	regulation of protein metabolic process	BP	1.72696634600779e-06	BP regulation of protein metabolic process	group8809, group9097, group8496
GO:0034641	1.1838625809446e-08	1	3	3	cellular nitrogen compound metabolic process	BP	1.75803593270272e-06	BP cellular nitrogen compound metabolic process	group7814, group2599, group8591
GO:1902494	1.23240162491204e-08	1	3	3	catalytic complex	CC	1.79684156912176e-06	CC catalytic complex	group7814, group9097, group8496
GO:0032502	1.4861066057614e-08	0.999999999954954	4	13	developmental process	BP	1.98604264405903e-06	BP developmental process	group7814, group8809, group2599, group9097
GO:0033036	1.53426512689222e-08	1	3	3	macromolecule localization	BP	1.98604264405903e-06	BP macromolecule localization	group8518, group8809, group9250
GO:0051641	1.53426512689222e-08	1	3	3	cellular localization	BP	1.98604264405903e-06	BP cellular localization	group8518, group8809, group9250
GO:0016740	1.59722228945896e-08	1	3	3	transferase activity	MF	1.98604264405903e-06	MF transferase activity	group7772, group8496, group2649
GO:0140096	1.59722228945896e-08	1	3	3	catalytic activity, acting on a protein	MF	1.98604264405903e-06	MF catalytic activity, acting on a protein	group7772, group8496, group2649
GO:0009059	1.59967315190224e-08	1	3	3	macromolecule biosynthetic process	BP	1.98604264405903e-06	BP macromolecule biosynthetic process	group7814, group7772, group8591
GO:0034645	1.59967315190224e-08	1	3	3	cellular macromolecule biosynthetic process	BP	1.98604264405903e-06	BP cellular macromolecule biosynthetic process	group7814, group7772, group8591
GO:0044249	1.59967315190224e-08	1	3	3	cellular biosynthetic process	BP	1.98604264405903e-06	BP cellular biosynthetic process	group7814, group7772, group8591
GO:1901576	1.59967315190224e-08	1	3	3	organic substance biosynthetic process	BP	1.98604264405903e-06	BP organic substance biosynthetic process	group7814, group7772, group8591
GO:0006810	1.63460299922554e-08	1	3	3	transport	BP	1.98604264405903e-06	BP transport	group8518, group9250, group2649
GO:0051234	1.63460299922554e-08	1	3	3	establishment of localization	BP	1.98604264405903e-06	BP establishment of localization	group8518, group9250, group2649
GO:0032991	2.55271575178059e-08	0.999999999764441	5	57	protein-containing complex	CC	3.05525785276545e-06	CC protein-containing complex	group7814, group8525, group9097, group8496, group8591
GO:0070727	4.06550187771517e-08	0.99999999998157	3	4	cellular macromolecule localization	BP	4.79430287608793e-06	BP cellular macromolecule localization	group8518, group8809, group9250
GO:0050793	4.39231212533925e-08	0.999999999979567	3	4	regulation of developmental process	BP	5.10463057001383e-06	BP regulation of developmental process	group8809, group1728, group2649
GO:0010467	8.81859333777418e-08	0.999999999923736	3	5	gene expression	BP	1.01023285679445e-05	BP gene expression	group7814, group9250, group8591
GO:0051252	9.25568061165649e-08	0.999999999918651	3	5	regulation of RNA metabolic process	BP	1.04537046232216e-05	BP regulation of RNA metabolic process	group7814, group8525, group1728
GO:0009058	1.03500124556185e-06	0.999999996882003	3	10	biosynthetic process	BP	0.000115273263724451	BP biosynthetic process	group7814, group7772, group8591
GO:0044427	3.24817400130292e-06	1	2	2	NA	NA	0.000356809689266413	none	group2599, group9097
GO:0016043	4.52664369470408e-06	1	2	2	cellular component organization	BP	0.000433836447802929	BP cellular component organization	group8809, group2599
GO:0071840	4.52664369470408e-06	1	2	2	cellular component organization or biogenesis	BP	0.000433836447802929	BP cellular component organization or biogenesis	group8809, group2599
GO:0002376	4.70647117750436e-06	1	2	2	immune system process	BP	0.000433836447802929	BP immune system process	group8809, group9097
GO:0002520	4.70647117750436e-06	1	2	2	immune system development	BP	0.000433836447802929	BP immune system development	group8809, group9097
GO:0007049	4.70647117750436e-06	1	2	2	cell cycle	BP	0.000433836447802929	BP cell cycle	group8809, group9097
GO:0019220	4.70647117750436e-06	1	2	2	regulation of phosphate metabolic process	BP	0.000433836447802929	BP regulation of phosphate metabolic process	group8809, group9097
GO:0044430	4.70647117750436e-06	1	2	2	NA	NA	0.000433836447802929	none	group8809, group9097
GO:0048534	4.70647117750436e-06	1	2	2	hematopoietic or lymphoid organ development	BP	0.000433836447802929	BP hematopoietic or lymphoid organ development	group8809, group9097
GO:0048583	4.70647117750436e-06	1	2	2	regulation of response to stimulus	BP	0.000433836447802929	BP regulation of response to stimulus	group8809, group9097
GO:0048731	4.70647117750436e-06	1	2	2	system development	BP	0.000433836447802929	BP system development	group8809, group9097
GO:0048869	4.70647117750436e-06	1	2	2	cellular developmental process	BP	0.000433836447802929	BP cellular developmental process	group8809, group9097
GO:0051174	4.70647117750436e-06	1	2	2	regulation of phosphorus metabolic process	BP	0.000433836447802929	BP regulation of phosphorus metabolic process	group8809, group9097
GO:0065009	4.70647117750436e-06	1	2	2	regulation of molecular function	BP	0.000433836447802929	BP regulation of molecular function	group8809, group9097
GO:0006725	4.92319700088123e-06	1	2	2	cellular aromatic compound metabolic process	BP	0.000433836447802929	BP cellular aromatic compound metabolic process	group7814, group2599
GO:0046483	4.92319700088123e-06	1	2	2	heterocycle metabolic process	BP	0.000433836447802929	BP heterocycle metabolic process	group7814, group2599
GO:0050896	4.92319700088123e-06	1	2	2	response to stimulus	BP	0.000433836447802929	BP response to stimulus	group7814, group2599
GO:0090304	4.92319700088123e-06	1	2	2	nucleic acid metabolic process	BP	0.000433836447802929	BP nucleic acid metabolic process	group7814, group2599
GO:1901360	4.92319700088123e-06	1	2	2	organic cyclic compound metabolic process	BP	0.000433836447802929	BP organic cyclic compound metabolic process	group7814, group2599
GO:0097159	5.36820912696732e-06	1	2	2	organic cyclic compound binding	MF	0.000462878161173666	MF organic cyclic compound binding	group8525, group8591
GO:1901363	5.36820912696732e-06	1	2	2	heterocyclic compound binding	MF	0.000462878161173666	MF heterocyclic compound binding	group8525, group8591
GO:0051239	5.97776122197634e-06	1	2	2	regulation of multicellular organismal process	BP	0.000486234372043014	BP regulation of multicellular organismal process	group8809, group1728
GO:2000026	5.97776122197634e-06	1	2	2	regulation of multicellular organismal development	BP	0.000486234372043014	BP regulation of multicellular organismal development	group8809, group1728
GO:1901135	6.32572923203302e-06	1	2	2	carbohydrate derivative metabolic process	BP	0.000486234372043014	BP carbohydrate derivative metabolic process	group8369, group1728
GO:0009889	6.43210555052066e-06	1	2	2	regulation of biosynthetic process	BP	0.000486234372043014	BP regulation of biosynthetic process	group7814, group1728
GO:0010556	6.43210555052066e-06	1	2	2	regulation of macromolecule biosynthetic process	BP	0.000486234372043014	BP regulation of macromolecule biosynthetic process	group7814, group1728
GO:0031326	6.43210555052066e-06	1	2	2	regulation of cellular biosynthetic process	BP	0.000486234372043014	BP regulation of cellular biosynthetic process	group7814, group1728
GO:1903506	6.43210555052066e-06	1	2	2	regulation of nucleic acid-templated transcription	BP	0.000486234372043014	BP regulation of nucleic acid-templated transcription	group7814, group1728
GO:2000112	6.43210555052066e-06	1	2	2	regulation of cellular macromolecule biosynthetic process	BP	0.000486234372043014	BP regulation of cellular macromolecule biosynthetic process	group7814, group1728
GO:2001141	6.43210555052066e-06	1	2	2	regulation of RNA biosynthetic process	BP	0.000486234372043014	BP regulation of RNA biosynthetic process	group7814, group1728
GO:0031984	6.55010785679495e-06	1	2	2	organelle subcompartment	CC	0.000486234372043014	CC organelle subcompartment	group8518, group1728
GO:0065008	6.64415926338001e-06	1	2	2	regulation of biological quality	BP	0.000486234372043014	BP regulation of biological quality	group8809, group2649
GO:0009893	6.6867561498033e-06	1	2	2	positive regulation of metabolic process	BP	0.000486234372043014	BP positive regulation of metabolic process	group7814, group8809
GO:0010604	6.6867561498033e-06	1	2	2	positive regulation of macromolecule metabolic process	BP	0.000486234372043014	BP positive regulation of macromolecule metabolic process	group7814, group8809
GO:0031325	6.6867561498033e-06	1	2	2	positive regulation of cellular metabolic process	BP	0.000486234372043014	BP positive regulation of cellular metabolic process	group7814, group8809
GO:0048518	6.6867561498033e-06	1	2	2	positive regulation of biological process	BP	0.000486234372043014	BP positive regulation of biological process	group7814, group8809
GO:0048522	6.6867561498033e-06	1	2	2	positive regulation of cellular process	BP	0.000486234372043014	BP positive regulation of cellular process	group7814, group8809
GO:0051173	6.6867561498033e-06	1	2	2	positive regulation of nitrogen compound metabolic process	BP	0.000486234372043014	BP positive regulation of nitrogen compound metabolic process	group7814, group8809
GO:1901566	6.78041082704627e-06	1	2	2	organonitrogen compound biosynthetic process	BP	0.000486234372043014	BP organonitrogen compound biosynthetic process	group7772, group8591
GO:0015833	6.97305808516605e-06	1	2	2	peptide transport	BP	0.000486234372043014	BP peptide transport	group8518, group9250
GO:0042886	6.97305808516605e-06	1	2	2	amide transport	BP	0.000486234372043014	BP amide transport	group8518, group9250
GO:0051649	6.97305808516605e-06	1	2	2	establishment of localization in cell	BP	0.000486234372043014	BP establishment of localization in cell	group8518, group9250
GO:0071705	6.97305808516605e-06	1	2	2	nitrogen compound transport	BP	0.000486234372043014	BP nitrogen compound transport	group8518, group9250
GO:0044248	7.13429644041429e-06	1	2	2	cellular catabolic process	BP	0.000492504234660881	BP cellular catabolic process	group8369, group8496
GO:0044271	7.21369423049932e-06	1	2	2	cellular nitrogen compound biosynthetic process	BP	0.000492504234660881	BP cellular nitrogen compound biosynthetic process	group7814, group8591
GO:0070647	7.24722530115775e-06	1	2	2	protein modification by small protein conjugation or removal	BP	0.000492504234660881	BP protein modification by small protein conjugation or removal	group7814, group8496
GO:0006996	7.9781384802501e-06	0.999999996174456	2	3	organelle organization	BP	0.000537619264480047	BP organelle organization	group8809, group2599
GO:0048856	1.01762940834846e-05	0.999999922800316	3	24	anatomical structure development	BP	0.000680030852128856	BP anatomical structure development	group8809, group2599, group9097
GO:0140110	1.08753064328732e-05	0.999999993909732	2	3	transcription regulator activity	MF	0.00072073621723314	MF transcription regulator activity	group7814, group1728
GO:0034613	1.13095982050947e-05	0.999999912337828	3	21	cellular protein localization	BP	0.000743374327923399	BP cellular protein localization	group8518, group8809, group9250
GO:0007275	1.66445522057032e-05	0.999999847051875	3	33	multicellular organism development	BP	0.00108514361087426	BP multicellular organism development	group8809, group2599, group9097
GO:1990234	2.03287123941827e-05	0.999999984423126	2	3	transferase complex	CC	0.00131464471523348	CC transferase complex	group7814, group8496
GO:1901575	3.38348634460247e-05	0.999999952678783	2	4	organic substance catabolic process	BP	0.00217057415978938	BP organic substance catabolic process	group8369, group8496
GO:0005737	4.12771947255996e-05	0.999996748509981	9	1144	cytoplasm	CC	0.00262699860717923	CC cytoplasm	group8518, group8369, group8809, group9250, group9097, group7772, group1728, group2649, group8591
GO:0009056	4.25529656296289e-05	0.999999933230159	2	4	catabolic process	BP	0.00268686796365349	BP catabolic process	group8369, group8496
GO:0008104	5.28388377265694e-05	0.999999268226771	3	47	protein localization	BP	0.00331027062288562	BP protein localization	group8518, group8809, group9250
GO:0048513	5.41092845346673e-05	0.999999888740083	2	5	animal organ development	BP	0.00336358412932943	BP animal organ development	group8809, group9097
GO:0071702	6.18670336697735e-05	0.999999843565817	2	7	organic substance transport	BP	0.00381624417690703	BP organic substance transport	group8518, group9250
GO:0045184	6.42585757751255e-05	0.999999827916384	2	8	establishment of protein localization	BP	0.00393350777970024	BP establishment of protein localization	group8518, group9250
GO:0006139	6.72486358200179e-05	0.99999982268739	2	7	nucleobase-containing compound metabolic process	BP	0.00408535462606609	BP nucleobase-containing compound metabolic process	group7814, group2599
GO:0050790	7.05633386440666e-05	0.999999819555739	2	6	regulation of catalytic activity	BP	0.00425449182396068	BP regulation of catalytic activity	group8809, group9097
GO:0005654	7.89231527778918e-05	0.999997344090355	4	133	nucleoplasm	CC	0.00472302061287996	CC nucleoplasm	group7814, group9250, group2599, group9097
GO:0005815	8.1554184859231e-05	0.999999741138343	2	10	microtubule organizing center	CC	0.00484431858063832	CC microtubule organizing center	group8809, group9097
GO:0045595	9.52250136639849e-05	0.999999689306232	2	8	regulation of cell differentiation	BP	0.00561477488655511	BP regulation of cell differentiation	group8809, group1728
GO:0032446	0.000121034033757272	0.999999554521748	2	8	protein modification by small protein conjugation	BP	0.0070844665452523	BP protein modification by small protein conjugation	group7814, group8496
GO:0012505	0.000231970677254378	0.999989613040198	4	145	endomembrane system	CC	0.0134795134848033	CC endomembrane system	group8518, group8809, group7772, group1728
GO:0046907	0.000268137213595131	0.999998383165986	2	13	intracellular transport	BP	0.0154690094663263	BP intracellular transport	group8518, group9250
GO:0010468	0.000309387227366765	0.999992039216725	3	75	regulation of gene expression	BP	0.0177212584018149	BP regulation of gene expression	group7814, group8525, group1728
GO:0005515	0.000355349758653916	0.99996839897541	6	639	protein binding	MF	0.0202095724442961	MF protein binding	group7814, group8369, group8809, group2599, group9097, group8591
GO:0015630	0.000387250816363256	0.999997116794544	2	16	microtubule cytoskeleton	CC	0.0218687626508236	CC microtubule cytoskeleton	group8809, group9097
GO:0005694	0.000691556036778937	0.99999285211589	2	24	chromosome	CC	0.0387803346778342	CC chromosome	group2599, group9097
GO:0000151	0.00101945460004624	0.999987175472544	2	24	ubiquitin ligase complex	CC	0.0567708780400747	CC ubiquitin ligase complex	group7814, group8496
GO:0005856	0.0011771885616357	0.999983623042554	2	41	cytoskeleton	CC	0.0640209651519382	CC cytoskeleton	group8809, group9097
GO:0005634	0.00122596534179682	0.999837550714037	8	1383	nucleus	CC	0.0640209651519382	CC nucleus	group7814, group8525, group8809, group9250, group2599, group9097, group8496, group2649
GO:0015031	0.00150829592661965	0.999976676920484	2	27	protein transport	BP	0.0640209651519382	BP protein transport	group8518, group9250
GO:0016787	0.00152053957637988	0.999976567783157	2	24	hydrolase activity	MF	0.0640209651519382	MF hydrolase activity	group2599, group1728
GO:0004003	0.0018321759531763	1	1	1	NA	NA	0.0640209651519382	none	group2599
GO:0008026	0.0018321759531763	1	1	1	NA	NA	0.0640209651519382	none	group2599
GO:0009628	0.0018321759531763	1	1	1	response to abiotic stimulus	BP	0.0640209651519382	BP response to abiotic stimulus	group2599
GO:0017111	0.0018321759531763	1	1	1	nucleoside-triphosphatase activity	MF	0.0640209651519382	MF nucleoside-triphosphatase activity	group2599
GO:0032392	0.0018321759531763	1	1	1	DNA geometric change	BP	0.0640209651519382	BP DNA geometric change	group2599
GO:0042623	0.0018321759531763	1	1	1	NA	NA	0.0640209651519382	none	group2599
GO:0043140	0.0018321759531763	1	1	1	NA	NA	0.0640209651519382	none	group2599
GO:0070035	0.0018321759531763	1	1	1	NA	NA	0.0640209651519382	none	group2599
GO:0071103	0.0018321759531763	1	1	1	DNA conformation change	BP	0.0640209651519382	BP DNA conformation change	group2599
GO:0090734	0.0018321759531763	1	1	1	site of DNA damage	CC	0.0640209651519382	CC site of DNA damage	group2599
GO:0140097	0.0018321759531763	1	1	1	catalytic activity, acting on DNA	MF	0.0640209651519382	MF catalytic activity, acting on DNA	group2599
GO:0000018	0.00191929799309347	1	1	1	regulation of DNA recombination	BP	0.0640209651519382	BP regulation of DNA recombination	group9097
GO:0008589	0.00191929799309347	1	1	1	regulation of smoothened signaling pathway	BP	0.0640209651519382	BP regulation of smoothened signaling pathway	group9097
GO:0010646	0.00191929799309347	1	1	1	regulation of cell communication	BP	0.0640209651519382	BP regulation of cell communication	group9097
GO:0010648	0.00191929799309347	1	1	1	negative regulation of cell communication	BP	0.0640209651519382	BP negative regulation of cell communication	group9097
GO:0010921	0.00191929799309347	1	1	1	regulation of phosphatase activity	BP	0.0640209651519382	BP regulation of phosphatase activity	group9097
GO:0023051	0.00191929799309347	1	1	1	regulation of signaling	BP	0.0640209651519382	BP regulation of signaling	group9097
GO:0023057	0.00191929799309347	1	1	1	negative regulation of signaling	BP	0.0640209651519382	BP negative regulation of signaling	group9097
GO:0048585	0.00191929799309347	1	1	1	negative regulation of response to stimulus	BP	0.0640209651519382	BP negative regulation of response to stimulus	group9097
GO:0051052	0.00191929799309347	1	1	1	regulation of DNA metabolic process	BP	0.0640209651519382	BP regulation of DNA metabolic process	group9097
GO:0051336	0.00191929799309347	1	1	1	regulation of hydrolase activity	BP	0.0640209651519382	BP regulation of hydrolase activity	group9097
GO:0080134	0.00191929799309347	1	1	1	regulation of response to stress	BP	0.0640209651519382	BP regulation of response to stress	group9097
GO:0080135	0.00191929799309347	1	1	1	regulation of cellular response to stress	BP	0.0640209651519382	BP regulation of cellular response to stress	group9097
GO:0098687	0.00191929799309347	1	1	1	chromosomal region	CC	0.0640209651519382	CC chromosomal region	group9097
GO:0098772	0.00191929799309347	1	1	1	molecular function regulator	MF	0.0640209651519382	MF molecular function regulator	group9097
GO:1903293	0.00191929799309347	1	1	1	phosphatase complex	CC	0.0640209651519382	CC phosphatase complex	group9097
GO:1903311	0.00201820771351574	1	1	1	regulation of mRNA metabolic process	BP	0.0640209651519382	BP regulation of mRNA metabolic process	group8525
GO:0010717	0.00249274566339136	1	1	1	regulation of epithelial to mesenchymal transition	BP	0.0640209651519382	BP regulation of epithelial to mesenchymal transition	group1728
GO:0010719	0.00249274566339136	1	1	1	negative regulation of epithelial to mesenchymal transition	BP	0.0640209651519382	BP negative regulation of epithelial to mesenchymal transition	group1728
GO:0015924	0.00249274566339136	1	1	1	mannosyl-oligosaccharide mannosidase activity	MF	0.0640209651519382	MF mannosyl-oligosaccharide mannosidase activity	group1728
GO:0044431	0.00249274566339136	1	1	1	NA	NA	0.0640209651519382	none	group1728
GO:0051093	0.00249274566339136	1	1	1	negative regulation of developmental process	BP	0.0640209651519382	BP negative regulation of developmental process	group1728
GO:0051241	0.00249274566339136	1	1	1	negative regulation of multicellular organismal process	BP	0.0640209651519382	BP negative regulation of multicellular organismal process	group1728
GO:0098588	0.00249274566339136	1	1	1	bounding membrane of organelle	CC	0.0640209651519382	CC bounding membrane of organelle	group1728
GO:0098791	0.00249274566339136	1	1	1	Golgi apparatus subcompartment	CC	0.0640209651519382	CC Golgi apparatus subcompartment	group1728
GO:0000910	0.00259621643024045	1	1	1	cytokinesis	BP	0.0640209651519382	BP cytokinesis	group8809
GO:0000911	0.00259621643024045	1	1	1	cytokinesis by cell plate formation	BP	0.0640209651519382	BP cytokinesis by cell plate formation	group8809
GO:0000913	0.00259621643024045	1	1	1	preprophase band assembly	BP	0.0640209651519382	BP preprophase band assembly	group8809
GO:0001776	0.00259621643024045	1	1	1	leukocyte homeostasis	BP	0.0640209651519382	BP leukocyte homeostasis	group8809
GO:0001782	0.00259621643024045	1	1	1	B cell homeostasis	BP	0.0640209651519382	BP B cell homeostasis	group8809
GO:0002260	0.00259621643024045	1	1	1	lymphocyte homeostasis	BP	0.0640209651519382	BP lymphocyte homeostasis	group8809
GO:0002682	0.00259621643024045	1	1	1	regulation of immune system process	BP	0.0640209651519382	BP regulation of immune system process	group8809
GO:0002684	0.00259621643024045	1	1	1	positive regulation of immune system process	BP	0.0640209651519382	BP positive regulation of immune system process	group8809
GO:0002694	0.00259621643024045	1	1	1	regulation of leukocyte activation	BP	0.0640209651519382	BP regulation of leukocyte activation	group8809
GO:0002696	0.00259621643024045	1	1	1	positive regulation of leukocyte activation	BP	0.0640209651519382	BP positive regulation of leukocyte activation	group8809
GO:0002759	0.00259621643024045	1	1	1	regulation of antimicrobial humoral response	BP	0.0640209651519382	BP regulation of antimicrobial humoral response	group8809
GO:0002831	0.00259621643024045	1	1	1	regulation of response to biotic stimulus	BP	0.0640209651519382	BP regulation of response to biotic stimulus	group8809
GO:0003254	0.00259621643024045	1	1	1	regulation of membrane depolarization	BP	0.0640209651519382	BP regulation of membrane depolarization	group8809
GO:0009524	0.00259621643024045	1	1	1	phragmoplast	CC	0.0640209651519382	CC phragmoplast	group8809
GO:0009790	0.00259621643024045	1	1	1	embryo development	BP	0.0640209651519382	BP embryo development	group8809
GO:0010562	0.00259621643024045	1	1	1	positive regulation of phosphorus metabolic process	BP	0.0640209651519382	BP positive regulation of phosphorus metabolic process	group8809
GO:0016049	0.00259621643024045	1	1	1	cell growth	BP	0.0640209651519382	BP cell growth	group8809
GO:0022402	0.00259621643024045	1	1	1	cell cycle process	BP	0.0640209651519382	BP cell cycle process	group8809
