category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
GO:0005198	0.00326285582297084	1	1	20	structural molecule activity	MF	0.2617012196156	MF structural molecule activity	group16290
GO:0015031	0.0039680323165496	1	1	26	protein transport	BP	0.315013177783224	BP protein transport	group16290
GO:1990904	0.00452041528778338	1	1	31	ribonucleoprotein complex	CC	0.355240716555098	CC ribonucleoprotein complex	group16290
GO:0006413	0.00495758600077261	1	1	30	translational initiation	BP	0.385700190860109	BP translational initiation	group16290
GO:0008104	0.00644053274056622	1	1	45	protein localization	BP	0.496112323976289	BP protein localization	group16290
GO:0022626	0.00687014187814615	1	1	32	cytosolic ribosome	CC	0.524016704038991	CC cytosolic ribosome	group16290
GO:0022625	0.00698896336432835	1	1	32	cytosolic large ribosomal subunit	CC	0.527904223053151	CC cytosolic large ribosomal subunit	group16290
GO:0010629	0.0076512195973594	1	1	52	negative regulation of gene expression	BP	0.572370081417848	BP negative regulation of gene expression	group16290
GO:0032991	0.00779371634092585	1	1	53	protein-containing complex	CC	0.577477267927649	CC protein-containing complex	group16290
GO:0010468	0.0106122853155321	1	1	73	regulation of gene expression	BP	0.778901695800373	BP regulation of gene expression	group16290
GO:0002181	0.0110760471063678	1	1	50	cytoplasmic translation	BP	0.805342490537774	BP cytoplasmic translation	group16290
GO:0043231	0.011394343859008	1	1	70	intracellular membrane-bounded organelle	CC	0.820814770584095	CC intracellular membrane-bounded organelle	group16290
GO:0006412	0.0157574509806124	1	1	74	translation	BP	0.9999999999	BP translation	group16290
GO:0006886	0.0162919815273024	1	1	100	intracellular protein transport	BP	0.9999999999	BP intracellular protein transport	group16290
GO:0003676	0.0181051719493766	1	1	123	nucleic acid binding	MF	0.9999999999	MF nucleic acid binding	group16290
GO:0003735	0.0192580876071052	1	1	88	structural constituent of ribosome	MF	0.9999999999	MF structural constituent of ribosome	group16290
GO:0003723	0.0352954412981283	1	1	225	RNA binding	MF	0.9999999999	MF RNA binding	group16290
