subgenus Drosophila	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
subgenus Drosophila	GO:0071704	0	1	10	10	organic substance metabolic process	BP	0	BP organic substance metabolic process	group7814, group8369, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
subgenus Drosophila	GO:0080090	0	1	6	6	regulation of primary metabolic process	BP	0	BP regulation of primary metabolic process	group7814, group8525, group8809, group9097, group8496, group1728
subgenus Drosophila	GO:1901564	0	1	7	7	organonitrogen compound metabolic process	BP	0	BP organonitrogen compound metabolic process	group7814, group9097, group7772, group8496, group1728, group2649, group8591
subgenus Drosophila	GO:0006464	3.60915280088478E-12	1	5	9	cellular protein modification process	BP	7.82210711089056E-10	BP cellular protein modification process	group7814, group9097, group7772, group8496, group2649
subgenus Drosophila	GO:0003824	1.53525734152684E-11	1	6	32	catalytic activity	MF	3.08561160835623E-09	MF catalytic activity	group8369, group2599, group7772, group8496, group1728, group2649
subgenus Drosophila	GO:0032501	1.63324151428352E-11	1	4	4	multicellular organismal process	BP	3.08561160835623E-09	BP multicellular organismal process	group7814, group8809, group2599, group9097
subgenus Drosophila	GO:0031974	1.68086176020938E-11	1	4	4	membrane-enclosed lumen	CC	3.08561160835623E-09	CC membrane-enclosed lumen	group7814, group9250, group2599, group9097
subgenus Drosophila	GO:0031981	1.68086176020938E-11	1	4	4	nuclear lumen	CC	3.08561160835623E-09	CC nuclear lumen	group7814, group9250, group2599, group9097
subgenus Drosophila	GO:0043233	1.68086176020938E-11	1	4	4	organelle lumen	CC	3.08561160835623E-09	CC organelle lumen	group7814, group9250, group2599, group9097
subgenus Drosophila	GO:0070013	1.68086176020938E-11	1	4	4	intracellular organelle lumen	CC	3.08561160835623E-09	CC intracellular organelle lumen	group7814, group9250, group2599, group9097
subgenus Drosophila	GO:0019219	1.69306535437927E-11	1	4	4	regulation of nucleobase-containing compound metabolic process	BP	3.08561160835623E-09	BP regulation of nucleobase-containing compound metabolic process	group7814, group8525, group9097, group1728
subgenus Drosophila	GO:0051179	3.2666533077964E-11	1	4	4	localization	BP	5.82117619449318E-09	BP localization	group8518, group8809, group9250, group2649
subgenus Drosophila	GO:0003674	1.95914833982402E-10	1	12	732	molecular_function	MF	3.41530663848887E-08	MF molecular_function	group7814, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
subgenus Drosophila	GO:0043228	7.40326660859386E-09	1	3	3	non-membrane-bounded organelle	CC	1.23680822779821E-06	CC non-membrane-bounded organelle	group8809, group2599, group9097
subgenus Drosophila	GO:0043232	7.40326660859386E-09	1	3	3	intracellular non-membrane-bounded organelle	CC	1.23680822779821E-06	CC intracellular non-membrane-bounded organelle	group8809, group2599, group9097
subgenus Drosophila	GO:0048519	1.09374323445792E-08	1	3	3	negative regulation of biological process	BP	1.72696634600779E-06	BP negative regulation of biological process	group9097, group8496, group1728
subgenus Drosophila	GO:0048523	1.09374323445792E-08	1	3	3	negative regulation of cellular process	BP	1.72696634600779E-06	BP negative regulation of cellular process	group9097, group8496, group1728
subgenus Drosophila	GO:0031399	1.14140436885413E-08	1	3	3	regulation of protein modification process	BP	1.72696634600779E-06	BP regulation of protein modification process	group8809, group9097, group8496
subgenus Drosophila	GO:0032268	1.14140436885413E-08	1	3	3	regulation of cellular protein metabolic process	BP	1.72696634600779E-06	BP regulation of cellular protein metabolic process	group8809, group9097, group8496
subgenus Drosophila	GO:0051246	1.14140436885413E-08	1	3	3	regulation of protein metabolic process	BP	1.72696634600779E-06	BP regulation of protein metabolic process	group8809, group9097, group8496
